NDC,RxNorm,Count_10years
43353-550-15,35636,2257
43353-550-30,35636,2257
43353-550-45,35636,2257
43353-550-60,35636,2257
43353-554-15,32937,53323
43353-554-30,32937,53323
43353-554-45,32937,53323
43353-555-15,596,171996
43353-555-20,596,171996
43353-555-30,596,171996
43353-555-45,596,171996
43353-555-53,596,171996
43353-555-55,596,171996
43353-555-60,596,171996
43353-555-70,596,171996
43353-555-75,596,171996
43353-555-80,596,171996
43353-555-90,596,171996
43353-555-92,596,171996
43353-559-30,461016,2062
43353-563-80,5487,56931
43353-567-15,39993,99950
43353-567-20,39993,99950
43353-567-21,39993,99950
43353-567-28,39993,99950
43353-567-30,39993,99950
43353-567-62,39993,99950
43353-569-30,40790,240196
43353-569-53,40790,240196
43353-569-60,40790,240196
43353-569-80,40790,240196
43353-572-15,596,79834
43353-572-30,596,79834
43353-572-53,596,79834
43353-572-60,596,79834
43353-572-70,596,79834
43353-572-75,596,79834
43353-572-80,596,79834
43353-572-90,596,79834
43353-573-15,2556,89142
43353-573-30,2556,89142
43353-573-45,2556,89142
43353-573-60,2556,89142
43353-574-53,42347,14910
43353-574-70,42347,14910
43353-574-80,42347,14910
43353-574-88,42347,14910
43353-574-94,42347,14910
43353-575-53,42347,10386
43353-575-60,42347,10386
43353-575-70,42347,10386
43353-575-80,42347,10386
43353-575-83,42347,10386
43353-575-92,42347,10386
43353-578-09,11289,23597
43353-578-30,11289,23597
43353-579-30,11289,51327
43353-580-30,1424,22315
43353-580-53,1424,22315
43353-582-60,4815,11945
43353-582-80,4815,11945
43353-583-30,6918,173703
43353-583-45,6918,173703
43353-583-60,6918,173703
43353-584-30,855288,36085
43353-584-60,855288,36085
43353-585-94,6809,111416
43353-587-30,11289,19539
43353-589-30,6809,248200
43353-589-53,6809,248200
43353-589-60,6809,248200
43353-589-70,6809,248200
43353-589-75,6809,248200
43353-589-80,6809,248200
43353-589-92,6809,248200
43353-589-94,6809,248200
43353-589-96,6809,248200
43353-590-07,39993,104323
43353-590-10,39993,104323
43353-590-14,39993,104323
43353-590-15,39993,104323
43353-590-20,39993,104323
43353-590-28,39993,104323
43353-590-30,39993,104323
43353-590-45,39993,104323
43353-590-53,39993,104323
43353-590-59,39993,104323
43353-590-60,39993,104323
43353-593-30,41493,119044
43353-593-60,41493,119044
43353-594-30,1223,27543
43353-594-53,1223,27543
43353-594-60,1223,27543
43353-594-70,1223,27543
43353-594-80,1223,27543
43353-594-90,1223,27543
43353-599-60,11170,5652
43353-599-80,11170,5652
43353-600-30,11170,11040
43353-600-60,11170,11040
43353-603-15,36437,174200
43353-603-45,36437,174200
43353-604-60,2019,33047
43353-604-80,2019,33047
43353-607-30,1827,27604
43353-607-60,1827,27604
43353-607-80,1827,27604
43353-609-53,1827,42647
43353-609-60,1827,42647
43353-609-80,1827,42647
43353-610-53,1827,48118
43353-610-60,1827,48118
43353-610-70,1827,48118
43353-610-80,1827,48118
43353-610-92,1827,48118
43353-612-60,39173,16508
43353-613-60,39173,6179
43353-614-30,15996,5636
43353-615-80,8629,107
43353-616-30,7008,12664
43353-616-60,7008,12664
43353-617-07,39993,99950
43353-617-10,39993,99950
43353-617-14,39993,99950
43353-617-15,39993,99950
43353-617-20,39993,99950
43353-617-21,39993,99950
43353-617-25,39993,99950
43353-617-28,39993,99950
43353-617-30,39993,99950
43353-617-40,39993,99950
43353-617-45,39993,99950
43353-617-53,39993,99950
43353-617-59,39993,99950
43353-617-60,39993,99950
43353-617-62,39993,99950
43353-620-07,39993,104323
43353-620-10,39993,104323
43353-620-14,39993,104323
43353-620-15,39993,104323
43353-620-20,39993,104323
43353-620-28,39993,104323
43353-620-30,39993,104323
43353-620-45,39993,104323
43353-620-53,39993,104323
43353-620-59,39993,104323
43353-620-60,39993,104323
43353-623-30,8356,3613
43353-623-60,8356,3613
43353-624-60,2418,905
43353-628-30,7531,19224
43353-629-30,41493,60144
43353-629-60,41493,60144
43353-630-45,25480,58466
43353-630-60,25480,58466
43353-630-80,25480,58466
43353-630-92,25480,58466
43353-631-60,11248,26422
43353-631-80,11248,26422
43353-633-09,1894,15496
43353-633-30,1894,15496
43353-633-81,1894,15496
43353-634-03,4018,42372
43353-634-04,4018,42372
43353-634-12,4018,42372
43353-634-13,4018,42372
43353-635-60,5487,75075
43353-636-60,5470,21841
43353-636-80,5470,21841
43353-636-92,5470,21841
43353-636-98,5470,21841
43353-637-30,4493,45578
43353-637-60,4493,45578
43353-638-53,6582,182
43353-639-15,35636,11967
43353-639-30,35636,11967
43353-640-30,42347,78909
43353-640-60,42347,78909
43353-640-80,42347,78909
43353-641-53,6468,35107
43353-641-60,6468,35107
43353-642-15,2556,175784
43353-642-45,2556,175784
43353-642-60,2556,175784
43353-643-60,29046,105532
43353-645-60,39173,16508
43353-646-60,39173,6179
43353-647-60,39173,12109
43353-648-60,39173,16508
43353-652-15,10737,154247
43353-652-30,10737,154247
43353-652-45,10737,154247
43353-652-53,10737,154247
43353-652-60,10737,154247
43353-652-70,10737,154247
43353-653-30,10737,70903
43353-653-53,10737,70903
43353-653-60,10737,70903
43353-653-80,10737,70903
43353-655-60,5487,48978
43353-656-53,4815,30815
43353-656-60,4815,30815
43353-656-70,4815,30815
43353-656-80,4815,30815
43353-656-90,4815,30815
43353-656-92,4815,30815
43353-656-94,4815,30815
43353-659-60,4815,11945
43353-659-80,4815,11945
43353-660-80,2599,95378
43353-661-60,2599,29527
43353-661-80,2599,29527
43353-662-16,29046,109415
43353-662-30,29046,109415
43353-662-80,29046,109415
43353-663-30,77492,225765
43353-663-53,77492,225765
43353-663-60,77492,225765
43353-663-80,77492,225765
43353-664-15,36567,37689
43353-664-30,36567,37689
43353-664-45,36567,37689
43353-664-60,36567,37689
43353-673-30,7393,493
43353-673-53,7393,493
43353-673-60,7393,493
43353-673-80,7393,493
43353-673-94,7393,493
43353-674-60,5470,21841
43353-674-80,5470,21841
43353-674-92,5470,21841
43353-674-94,5470,21841
43353-674-96,5470,21841
43353-674-98,5470,21841
43353-675-53,187832,2387
43353-677-53,7258,148159
43353-677-80,7258,148159
43353-678-88,5032,14
43353-681-30,4511,182324
43353-681-60,4511,182324
43353-681-65,4511,182324
43353-682-65,2400,1112
43353-683-80,3355,27148
43353-684-15,17767,298410
43353-684-30,17767,298410
43353-684-45,17767,298410
43353-684-60,17767,298410
43353-685-45,42463,75421
43353-686-09,1256,14272
43353-686-60,1256,14272
43353-687-60,4099,6169
43353-688-60,4099,5589
43353-689-53,39786,5460
43353-690-30,39786,14069
43353-690-53,39786,14069
43353-690-60,39786,14069
43353-690-70,39786,14069
43353-690-80,39786,14069
43353-690-84,39786,14069
43353-691-30,17767,202996
43353-691-60,17767,202996
43353-692-53,3355,82366
43353-693-06,18631,406377
43353-693-87,18631,406377
43353-694-60,5470,31673
43353-694-80,5470,31673
43353-694-92,5470,31673
43353-695-30,38404,47698
43353-695-53,38404,47698
43353-695-60,38404,47698
43353-695-70,38404,47698
43353-695-80,38404,47698
43353-696-30,38404,27417
43353-696-45,38404,27417
43353-696-53,38404,27417
43353-696-60,38404,27417
43353-696-80,38404,27417
43353-697-15,38404,5867
43353-697-30,38404,5867
43353-697-60,38404,5867
43353-697-80,38404,5867
43353-698-30,2356,7566
43353-698-53,2356,7566
43353-698-60,2356,7566
43353-699-30,2356,23465
43353-699-53,2356,23465
43353-699-60,2356,23465
43353-700-03,4018,42372
43353-700-04,4018,42372
43353-700-12,4018,42372
43353-701-60,8787,20149
43353-702-03,4018,42372
43353-703-19,77492,225765
43353-703-30,77492,225765
43353-703-53,77492,225765
43353-703-60,77492,225765
43353-703-80,77492,225765
43353-705-15,596,145808
43353-705-30,596,145808
43353-705-53,596,145808
43353-705-60,596,145808
43353-705-70,596,145808
43353-706-60,8787,10728
43353-707-09,1424,9154
43353-709-30,25480,278755
43353-709-53,25480,278755
43353-709-60,25480,278755
43353-709-70,25480,278755
43353-709-80,25480,278755
43353-709-92,25480,278755
43353-709-94,25480,278755
43353-709-98,25480,278755
43353-710-60,25480,45419
43353-710-80,25480,45419
43353-710-92,25480,45419
43353-710-94,25480,45419
43353-711-30,10355,17442
43353-711-53,10355,17442
43353-711-60,10355,17442
43353-713-15,32937,53323
43353-713-45,32937,53323
43353-714-60,4719,27350
43353-715-04,1596,6796
43353-715-06,1596,6796
43353-716-30,1191,4547
43353-716-60,1191,4547
43353-717-09,5487,14361
43353-717-30,5487,14361
43353-717-45,5487,14361
43353-717-53,5487,14361
43353-717-60,5487,14361
43353-718-45,6472,21355
43353-718-60,6472,21355
43353-719-15,5487,263754
43353-719-30,5487,263754
43353-719-45,5487,263754
43353-719-53,5487,263754
43353-719-60,5487,263754
43353-719-65,5487,263754
43353-719-73,5487,263754
43353-719-80,5487,263754
43353-720-15,35636,11967
43353-720-30,35636,11967
43353-720-45,35636,11967
43353-721-53,161,73372
43353-721-60,161,73372
43353-721-70,161,73372
43353-722-60,5487,48978
43353-723-60,,1
43353-723-60,7417,11454
43353-726-60,5487,56931
43353-726-80,5487,56931
43353-727-30,39993,6840
43353-727-60,39993,6840
43353-729-30,52175,131348
43353-729-45,52175,131348
43353-729-60,52175,131348
43353-730-30,5487,47869
43353-730-60,5487,47869
43353-731-92,25480,164418
43353-731-98,25480,164418
43353-732-15,5487,263754
43353-732-30,5487,263754
43353-732-45,5487,263754
43353-732-53,5487,263754
43353-732-60,5487,263754
43353-733-45,5487,14361
43353-733-60,5487,14361
43353-734-10,161,236950
43353-734-15,161,236950
43353-734-20,161,236950
43353-734-24,161,236950
43353-734-28,161,236950
43353-734-30,161,236950
43353-734-40,161,236950
43353-734-45,161,236950
43353-734-46,161,236950
43353-734-50,161,236950
43353-734-53,161,236950
43353-734-54,161,236950
43353-734-55,161,236950
43353-734-57,161,236950
43353-734-60,161,236950
43353-734-67,161,236950
43353-734-70,161,236950
43353-734-72,161,236950
43353-734-75,161,236950
43353-734-80,161,236950
43353-734-90,161,236950
43353-735-18,42347,28437
43353-735-82,42347,28437
43353-736-09,40790,240196
43353-736-30,40790,240196
43353-736-53,40790,240196
43353-736-60,40790,240196
43353-736-79,40790,240196
43353-736-88,40790,240196
43353-737-30,4603,255342
43353-737-45,4603,255342
43353-737-53,4603,255342
43353-737-60,4603,255342
43353-737-80,4603,255342
43353-737-92,4603,255342
43353-739-60,39173,12109
43353-740-60,39173,16508
43353-741-02,306674,1548
43353-741-04,306674,1548
43353-741-06,306674,1548
43353-741-12,306674,1548
43353-741-52,306674,1548
43353-742-60,5470,21841
43353-742-80,5470,21841
43353-742-92,5470,21841
43353-742-94,5470,21841
43353-742-96,5470,21841
43353-742-98,5470,21841
43353-743-30,39993,6840
43353-743-60,39993,6840
43353-744-02,306674,106
43353-744-06,306674,106
43353-745-09,1256,14272
43353-745-60,1256,14272
43353-746-30,17300,6475
43353-746-60,17300,6475
43353-747-30,4603,255342
43353-747-45,4603,255342
43353-747-53,4603,255342
43353-747-60,4603,255342
43353-747-80,4603,255342
43353-747-92,4603,255342
43353-748-02,306674,4272
43353-748-03,306674,4272
43353-748-04,306674,4272
43353-748-06,306674,4272
43353-748-12,306674,4272
43353-748-52,306674,4272
43353-748-79,306674,4272
43353-749-18,24605,2438
43353-749-53,24605,2438
43353-749-56,24605,2438
43353-750-16,7417,3579
43353-750-60,7417,3579
43353-750-81,7417,3579
43353-752-53,24605,10994
43353-752-60,24605,10994
43353-752-80,24605,10994
43353-752-83,24605,10994
43353-753-30,24605,2572
43353-753-53,24605,2572
43353-753-60,24605,2572
43353-753-70,24605,2572
43353-753-80,24605,2572
43353-754-15,35636,2257
43353-754-16,35636,2257
43353-754-30,35636,2257
43353-754-45,35636,2257
43353-754-60,35636,2257
43353-755-15,35636,25236
43353-755-30,35636,25236
43353-755-45,35636,25236
43353-755-53,35636,25236
43353-755-60,35636,25236
43353-756-60,5470,31673
43353-756-80,5470,31673
43353-756-92,5470,31673
43353-757-15,35636,11967
43353-757-30,35636,11967
43353-757-45,35636,11967
43353-759-60,2019,1069
43353-759-80,2019,1069
43353-760-30,87636,36775
43353-760-60,87636,36775
43353-761-53,5521,43288
43353-761-80,5521,43288
43353-762-60,4719,27350
43353-762-80,4719,27350
43353-763-45,6472,21355
43353-764-02,136411,1198
43353-764-04,136411,1198
43353-764-06,136411,1198
43353-764-12,136411,1198
43353-765-08,8698,1867
43353-766-30,35636,3253
43353-767-53,42347,10386
43353-767-60,42347,10386
43353-767-70,42347,10386
43353-767-80,42347,10386
43353-767-83,42347,10386
43353-767-92,42347,10386
43353-768-15,36567,37689
43353-769-41,32675,24821
43353-772-53,4719,27350
43353-772-60,4719,27350
43353-772-80,4719,27350
43353-773-15,36567,248034
43353-773-45,36567,248034
43353-773-60,36567,248034
43353-774-15,36567,209582
43353-774-45,36567,209582
43353-774-60,36567,209582
43353-775-30,8356,3613
43353-775-60,8356,3613
43353-778-15,2556,175784
43353-778-30,2556,175784
43353-778-45,2556,175784
43353-778-60,2556,175784
43353-779-30,6845,26049
43353-779-53,6845,26049
43353-779-60,6845,26049
43353-779-70,6845,26049
43353-779-80,6845,26049
43353-779-90,6845,26049
43353-779-92,6845,26049
43353-780-30,10180,180471
43353-782-18,7417,54
43353-782-30,7417,54
43353-782-60,7417,54
43353-782-80,7417,54
43353-783-15,3322,96356
43353-783-20,3322,96356
43353-783-30,3322,96356
43353-783-45,3322,96356
43353-783-53,3322,96356
43353-783-55,3322,96356
43353-783-60,3322,96356
43353-783-70,3322,96356
43353-783-75,3322,96356
43353-783-80,3322,96356
43353-783-90,3322,96356
43353-784-53,3355,27148
43353-785-15,51272,28376
43353-785-16,51272,28376
43353-785-30,51272,28376
43353-785-45,51272,28376
43353-785-53,51272,28376
43353-785-60,51272,28376
43353-786-30,51272,17481
43353-786-53,51272,17481
43353-787-15,36437,147273
43353-787-30,36437,147273
43353-787-45,36437,147273
43353-787-53,36437,147273
43353-787-60,36437,147273
43353-787-73,36437,147273
43353-787-80,36437,147273
43353-788-30,51272,43904
43353-788-53,51272,43904
43353-788-60,51272,43904
43353-790-30,8591,38552
43353-790-53,8591,38552
43353-790-60,8591,38552
43353-790-70,8591,38552
43353-790-80,8591,38552
43353-790-85,8591,38552
43353-790-92,8591,38552
43353-790-94,8591,38552
43353-791-53,2101,59368
43353-791-60,2101,59368
43353-791-70,2101,59368
43353-792-30,7417,81
43353-792-60,7417,81
43353-793-30,29046,204198
43353-794-16,5521,43288
43353-794-53,5521,43288
43353-794-60,5521,43288
43353-794-80,5521,43288
43353-795-16,6918,97314
43353-795-60,6918,97314
43353-796-30,1424,22315
43353-796-53,1424,22315
43353-798-17,39786,14069
43353-798-53,39786,14069
43353-798-70,39786,14069
43353-798-80,39786,14069
43353-798-84,39786,14069
43353-798-88,39786,14069
43353-799-15,2598,14010
43353-799-45,2598,14010
43353-799-70,2598,14010
43353-800-60,5487,48978
43353-802-53,39786,5460
43353-804-45,25480,58466
43353-804-60,25480,58466
43353-804-80,25480,58466
43353-804-92,25480,58466
43353-805-60,8591,343088
43353-806-99,73645,37273
43353-807-60,6915,23648
43353-808-53,6915,23648
43353-808-60,6915,23648
43353-809-15,36437,147273
43353-809-30,36437,147273
43353-809-45,36437,147273
43353-809-53,36437,147273
43353-809-60,36437,147273
43353-809-73,36437,147273
43353-809-80,36437,147273
43353-810-80,25480,45419
43353-810-92,25480,45419
43353-810-94,25480,45419
43353-811-53,6809,32149
43353-811-60,6809,32149
43353-811-80,6809,32149
43353-811-92,6809,32149
43353-812-30,36437,76217
43353-813-30,51272,43904
43353-813-53,51272,43904
43353-813-60,51272,43904
43353-814-16,51272,17481
43353-814-30,51272,17481
43353-814-53,51272,17481
43353-815-15,83366,165803
43353-815-30,83366,165803
43353-815-45,83366,165803
43353-815-60,83366,165803
43353-815-79,83366,165803
43353-816-03,4018,197414
43353-816-04,4018,197414
43353-817-15,36437,174200
43353-817-30,36437,174200
43353-817-45,36437,174200
43353-817-60,36437,174200
43353-818-15,51272,28376
43353-818-16,51272,28376
43353-818-30,51272,28376
43353-818-45,51272,28376
43353-818-53,51272,28376
43353-818-60,51272,28376
43353-819-60,8640,108262
43353-820-30,3322,30377
43353-820-53,3322,30377
43353-820-60,3322,30377
43353-820-70,3322,30377
43353-821-15,83366,335558
43353-821-30,83366,335558
43353-821-45,83366,335558
43353-821-60,83366,335558
43353-822-06,18631,406377
43353-823-30,25480,278755
43353-823-60,25480,278755
43353-823-70,25480,278755
43353-823-92,25480,278755
43353-823-94,25480,278755
43353-823-98,25480,278755
43353-824-65,4511,182324
43353-825-30,3322,30377
43353-825-53,3322,30377
43353-825-60,3322,30377
43353-825-70,3322,30377
43353-826-15,83366,335558
43353-826-45,83366,335558
43353-826-60,83366,335558
43353-827-15,83366,165803
43353-827-30,83366,165803
43353-827-45,83366,165803
43353-827-53,83366,165803
43353-827-60,83366,165803
43353-828-03,4018,42372
43353-828-04,4018,42372
43353-828-08,4018,42372
43353-828-12,4018,42372
43353-828-13,4018,42372
43353-829-60,7646,184356
43353-830-60,1202,121207
43353-830-73,1202,121207
43353-831-30,30125,11807
43353-831-53,30125,11807
43353-832-09,20352,51446
43353-832-60,20352,51446
43353-832-80,20352,51446
43353-833-30,1202,116074
43353-833-45,1202,116074
43353-833-60,1202,116074
43353-833-80,1202,116074
43353-834-30,1202,121207
43353-834-45,1202,121207
43353-834-60,1202,121207
43353-834-73,1202,121207
43353-834-80,1202,121207
43353-835-30,3407,62589
43353-835-60,3407,62589
43353-836-09,7417,6821
43353-836-30,7417,6821
43353-836-60,7417,6821
43353-836-80,7417,6821
43353-837-53,20352,40489
43353-837-60,20352,40489
43353-837-80,20352,40489
43353-838-30,20352,54857
43353-838-53,20352,54857
43353-838-60,20352,54857
43353-838-80,20352,54857
43353-839-60,8698,1867
43353-840-30,187832,1861
43353-840-53,187832,1861
43353-841-30,461016,1938
43353-842-30,6809,248200
43353-842-53,6809,248200
43353-842-60,6809,248200
43353-842-70,6809,248200
43353-842-80,6809,248200
43353-842-92,6809,248200
43353-842-94,6809,248200
43353-842-96,6809,248200
43353-843-15,83366,165803
43353-843-30,83366,165803
43353-843-45,83366,165803
43353-843-60,83366,165803
43353-844-30,42463,18994
43353-844-45,42463,18994
43353-845-15,32937,24252
43353-845-30,32937,24252
43353-845-45,32937,24252
43353-846-18,61381,7930
43353-847-18,51272,10019
43353-848-15,89013,5131
43353-848-16,89013,5131
43353-848-45,89013,5131
43353-849-15,89013,1891
43353-849-16,89013,1891
43353-849-45,89013,1891
43353-850-15,89013,1073
43353-850-18,89013,1073
43353-850-45,89013,1073
43353-850-99,89013,1073
43353-851-09,83366,234623
43353-852-18,51272,5049
43353-853-18,620,8305
43353-854-03,2683,8453
43353-854-09,2683,8453
43353-855-18,60307,2736
43353-856-15,36567,209582
43353-856-17,36567,209582
43353-856-30,36567,209582
43353-856-45,36567,209582
43353-856-60,36567,209582
43353-856-88,36567,209582
43353-857-02,303263,8630
43353-857-04,303263,8630
43353-857-06,303263,8630
43353-857-12,303263,8630
43353-858-15,36567,37689
43353-858-19,36567,37689
43353-858-30,36567,37689
43353-858-45,36567,37689
43353-858-60,36567,37689
43353-858-98,36567,37689
43353-859-60,2418,5863
43353-859-80,2418,5863
43353-860-30,36567,83961
43353-860-45,36567,83961
43353-860-60,36567,83961
43353-860-88,36567,83961
43353-861-09,36567,248034
43353-861-15,36567,248034
43353-861-30,36567,248034
43353-861-45,36567,248034
43353-861-60,36567,248034
43353-861-88,36567,248034
43353-862-60,25480,164418
43353-862-80,25480,164418
43353-862-92,25480,164418
43353-862-98,25480,164418
43353-863-30,25480,278755
43353-863-53,25480,278755
43353-863-60,25480,278755
43353-863-70,25480,278755
43353-863-80,25480,278755
43353-863-92,25480,278755
43353-863-94,25480,278755
43353-863-98,25480,278755
43353-864-60,25480,45419
43353-864-80,25480,45419
43353-864-92,25480,45419
43353-864-94,25480,45419
43353-865-60,5487,56931
43353-865-80,5487,56931
43353-866-30,5487,47869
43353-866-60,5487,47869
43353-867-60,5487,48978
43353-868-60,8629,7206
43353-868-80,8629,7206
43353-869-53,39786,62552
43353-869-79,39786,62552
43353-870-45,50166,3134
43353-871-45,36567,83961
43353-872-45,25480,58466
43353-872-60,25480,58466
43353-872-73,25480,58466
43353-872-80,25480,58466
43353-872-92,25480,58466
43353-873-15,83366,335558
43353-873-30,83366,335558
43353-873-45,83366,335558
43353-874-30,20352,56509
43353-874-60,20352,56509
43353-874-80,20352,56509
43353-875-30,36567,4943
43353-875-60,36567,4943
43353-875-88,36567,4943
43353-876-53,187832,796
43353-879-09,88249,191246
43353-879-30,88249,191246
43353-880-83,35829,3045
43353-881-88,26225,108250
43353-882-79,39786,67659
43353-883-83,73645,37273
43353-883-99,73645,37273
43353-884-79,52582,1051
43353-885-45,6809,205886
43353-885-53,6809,205886
43353-885-60,6809,205886
43353-885-73,6809,205886
43353-885-80,6809,205886
43353-885-86,6809,205886
43353-887-60,1202,36079
43353-890-09,6916,23887
43353-891-16,42351,4529
43353-892-09,83366,234623
43353-892-45,83366,234623
43353-893-16,,9
43353-893-16,37801,14849
43353-894-30,6809,248200
43353-896-79,39786,33890
43353-897-18,6719,7643
43353-898-19,8703,22057
43353-899-05,591622,15160
43353-900-83,42347,12379
43353-903-79,3443,2480
43353-904-09,83366,234623
43353-904-45,83366,234623
43353-904-60,83366,234623
43353-905-05,4637,461
43353-906-79,3443,811
43353-907-83,3443,1392
43353-909-83,6979,21383
43353-910-83,69749,5660
43353-911-09,72302,8641
43353-912-09,72302,17877
43353-913-09,1424,9154
43353-914-16,57258,55411
43353-914-18,57258,55411
43353-914-30,57258,55411
43353-914-53,57258,55411
43353-914-60,57258,55411
43353-916-09,40790,32146
43353-917-05,6057,3363
43353-918-60,24605,1012
43353-918-70,24605,1012
43353-918-80,24605,1012
43353-918-87,24605,1012
43353-919-16,5470,3828
43353-920-09,72302,15804
43353-921-16,11170,6348
43353-922-09,2409,2302
43353-925-30,30125,11807
43353-925-53,30125,11807
43353-926-60,5487,2024
43353-928-53,40254,15623
43353-928-60,40254,15623
43353-928-70,40254,15623
43353-929-09,,1
43353-929-09,7417,11454
43353-929-30,,1
43353-929-30,7417,11454
43353-929-60,,1
43353-929-60,7417,11454
43353-930-16,6979,4790
43353-931-09,6916,16203
43353-932-05,60307,2736
43353-933-18,281,8420
43353-935-09,42351,3807
43353-936-30,6809,205886
43353-936-45,6809,205886
43353-936-73,6809,205886
43353-936-86,6809,205886
43353-938-79,39786,2736
43353-939-30,1202,121207
43353-939-45,1202,121207
43353-939-60,1202,121207
43353-939-73,1202,121207
43353-939-80,1202,121207
43353-940-30,11170,11040
43353-940-60,11170,11040
43353-942-30,6918,298733
43353-942-53,6918,298733
43353-942-60,6918,298733
43353-942-70,6918,298733
43353-942-80,6918,298733
43353-942-92,6918,298733
43353-942-98,6918,298733
43353-943-30,6918,226184
43353-943-45,6918,226184
43353-943-53,6918,226184
43353-943-60,6918,226184
43353-943-70,6918,226184
43353-943-73,6918,226184
43353-943-80,6918,226184
43353-943-92,6918,226184
43353-943-94,6918,226184
43353-943-98,6918,226184
43353-944-53,6918,70401
43353-944-60,6918,70401
43353-944-80,6918,70401
43353-945-16,17300,6475
43353-945-30,17300,6475
43353-945-60,17300,6475
43353-946-09,57258,15384
43353-947-05,620,8305
43353-948-30,6845,26049
43353-948-53,6845,26049
43353-948-60,6845,26049
43353-948-70,6845,26049
43353-948-80,6845,26049
43353-948-83,6845,26049
43353-948-90,6845,26049
43353-948-92,6845,26049
43353-949-53,6845,13608
43353-949-60,6845,13608
43353-949-70,6845,13608
43353-949-80,6845,13608
43353-951-09,16681,1075
43353-953-30,2002,16979
43353-953-53,2002,16979
43353-953-60,2002,16979
43353-953-80,2002,16979
43353-954-16,61381,2421
43353-956-30,30125,11807
43353-956-53,30125,11807
43353-957-18,51272,17481
43353-957-30,51272,17481
43353-958-30,1897,53
43353-958-53,1897,53
43353-958-60,1897,53
43353-958-65,1897,53
43353-958-80,1897,53
43353-958-85,1897,53
43353-958-92,1897,53
43353-959-15,83366,335558
43353-959-30,83366,335558
43353-959-45,83366,335558
43353-960-30,72625,73823
43353-960-83,72625,73823
43353-961-60,8787,20149
43353-962-15,15996,14082
43353-962-30,15996,14082
43353-962-45,15996,14082
43353-962-53,15996,14082
43353-963-15,15996,52989
43353-963-30,15996,52989
43353-963-60,15996,52989
43353-964-45,42463,75421
43353-964-60,42463,75421
43353-965-30,7781,3048
43353-965-53,7781,3048
43353-965-60,7781,3048
43353-966-45,42463,18994
43353-967-60,9143,51789
43353-967-80,9143,51789
43353-968-60,5487,56931
43353-968-80,5487,56931
43353-969-53,2356,7566
43353-970-30,36437,76217
43353-971-30,9143,142315
43353-971-60,9143,142315
43353-971-80,9143,142315
43353-972-09,5521,43288
43353-972-53,5521,43288
43353-972-60,5521,43288
43353-973-15,10737,154247
43353-973-30,10737,154247
43353-973-45,10737,154247
43353-973-53,10737,154247
43353-973-70,10737,154247
43353-974-15,10737,70903
43353-974-30,10737,70903
43353-974-53,10737,70903
43353-974-80,10737,70903
43353-976-30,5487,47869
43353-976-60,5487,47869
43353-977-60,5487,48978
43353-978-53,32675,39247
43353-978-60,32675,39247
43353-978-80,32675,39247
43353-978-92,32675,39247
43353-979-60,41493,119044
43353-980-30,7781,381
43353-981-15,83366,165803
43353-981-30,83366,165803
43353-981-45,83366,165803
43353-981-60,83366,165803
43353-982-30,6809,248200
43353-982-53,6809,248200
43353-982-60,6809,248200
43353-982-70,6809,248200
43353-982-80,6809,248200
43353-982-92,6809,248200
43353-982-94,6809,248200
43353-982-96,6809,248200
43353-983-15,83366,165803
43353-983-30,83366,165803
43353-983-45,83366,165803
43353-984-05,4637,461
43353-985-09,1202,9525
43353-986-60,1202,36079
43353-987-30,6809,205886
43353-987-45,6809,205886
43353-987-53,6809,205886
43353-987-60,6809,205886
43353-987-73,6809,205886
43353-987-80,6809,205886
43353-987-86,6809,205886
43353-988-15,8591,23631
43353-988-30,8591,23631
43353-988-45,8591,23631
43353-988-53,8591,23631
43353-988-60,8591,23631
43353-988-70,8591,23631
43353-988-73,8591,23631
43353-988-80,8591,23631
43353-988-92,8591,23631
43353-988-94,8591,23631
43353-989-30,17767,202996
43353-989-45,17767,202996
43353-989-60,17767,202996
43353-990-60,8591,10808
43353-990-80,8591,10808
43353-991-08,8698,1867
43353-991-60,8698,1867
43353-992-60,11170,5652
43353-992-80,11170,5652
43353-993-30,29046,267461
43353-993-45,29046,267461
43353-993-53,29046,267461
43353-993-60,29046,267461
43353-993-80,29046,267461
43353-993-92,29046,267461
43353-994-15,32937,53323
43353-994-45,32937,53323
43353-995-45,6472,21355
43353-996-05,60307,2736
43353-996-83,60307,2736
43353-997-09,5521,15464
43353-997-53,5521,15464
43353-997-60,5521,15464
43353-998-09,1894,15496
43353-999-09,6916,23887
43376-310-60,5489,6
43376-315-60,5489,14
43376-320-60,5489,4
43376-330-60,5489,7
43376-340-60,5489,2
43386-026-02,4462,6594
43386-026-06,4462,6594
43386-028-60,2590,14466
43386-038-60,121243,38
43386-050-19,8591,122
43386-060-19,8591,91
43386-069-60,4461,2136
43386-071-83,1596,1
43386-080-03,17767,823
43386-080-09,17767,823
43386-081-03,17767,580
43386-081-09,17767,580
43386-082-03,17767,465
43386-082-09,17767,465
43386-083-03,17767,700
43386-083-09,17767,700
43386-088-03,121243,285
43386-089-03,121243,2698
43386-090-19,8591,137
43386-095-60,4462,5347
43386-095-61,4462,5347
43386-095-62,4462,5347
43386-096-60,2590,29044
43386-096-61,2590,29044
43386-096-62,2590,29044
43386-096-63,2590,29044
43386-118-01,5489,170
43386-118-03,5489,170
43386-140-07,6883,1568
43386-140-12,6883,1568
43386-140-28,6883,1568
43386-160-06,42331,1279
