NDC,RxNorm,Count_10years
0006-0277-54,593411,38135
0006-0277-82,593411,38135
0006-0325-10,1547099,40
0006-0325-30,1547099,40
0006-0335-10,1547099,122
0006-0335-30,1547099,122
0006-0351-01,1537034,3
0006-0351-31,1537034,3
0006-0351-48,1537034,3
0006-0351-54,1537034,3
0006-0423-68,5487,1
0006-0461-01,357280,47
0006-0461-02,357280,47
0006-0461-06,357280,47
0006-0462-01,357280,31
0006-0462-06,357280,31
0006-0464-01,357280,41
0006-0464-05,357280,41
0006-0464-10,357280,41
0006-0473-61,719872,2
0006-0477-61,719872,14
0006-0543-31,36567,4267
0006-0543-54,36567,4267
0006-0568-40,194337,10
0006-0571-43,114289,2
0006-0573-62,114289,10
0006-0575-03,6809,1559
0006-0575-61,6809,1559
0006-0575-62,6809,1559
0006-0575-82,6809,1559
0006-0577-61,6809,5012
0006-0577-62,6809,5012
0006-0577-82,6809,5012
0006-0619-68,5492,1
0006-0697-61,3393,171
0006-0710-44,2418,506
0006-0717-31,5487,2024
0006-0717-54,5487,2024
0006-0726-31,36567,553
0006-0732-61,6472,984
0006-0735-31,36567,6678
0006-0735-54,36567,6678
0006-0740-31,36567,18969
0006-0740-54,36567,18969
0006-0745-31,5487,732
0006-0745-54,5487,732
0006-0745-82,5487,732
0006-0747-31,5487,3081
0006-0747-54,5487,3081
0006-0749-31,36567,16685
0006-0749-54,36567,16685
0006-0917-68,644,45
0006-0941-68,10237,27
0006-0951-54,52175,4568
0006-0952-31,52175,8758
0006-0952-54,52175,8758
0006-0960-31,52175,8868
0006-0960-54,52175,8868
0006-1711-31,88249,6441
0006-3026-01,1547545,3
0006-3026-02,1547545,3
0006-3026-04,1547545,3
0006-3029-01,1547545,1
0006-3029-02,1547545,1
0006-3061-00,357280,33
0006-3061-01,357280,33
0006-3061-02,357280,33
0006-3061-03,357280,33
0006-3061-04,357280,33
0006-3061-05,357280,33
0006-3074-01,1734628,14
0006-3074-02,1734628,14
0006-3075-02,1988648,2
0006-3075-03,1988648,2
0006-3075-04,1988648,2
0006-3080-01,719872,10
0006-3514-58,2540,2
0006-3516-59,2540,5
0006-3519-36,60207,764
0006-3551-58,2540,2
0006-3552-59,2540,5
0006-3629-15,10600,194
0006-3629-60,10600,194
0006-3800-18,88014,365
0006-3801-18,88014,2732
