rxcui	ndcs
1091828	['00254203373', '00254203380', '00254203391', '00603754001', '00603754017', '00603754049', '53002164601', '53002164603', '53002164606', '70518213700']
1422081	['57297088211', '57297088213', '68180088211', '68180088213', '68180089111', '68180089113', '68180089171', '68180089173']
1866047	['00781406615', '70700011384', '70700011385']
1605086	['16714046401', '16714046402', '16714046403', '16714046404']
749849	[]
753543	['00093330416', '00093330428', '52544095428', '53002163101', '53002163103', '53002163106', '53217012728']
750261	[]
749865	[]
846192	['42195072121', '68047070221']
847225	['00095008921']
895526	[]
1050493	['00781410315', '00781410352']
1050494	['50419040300', '50419040301', '50419040303', '50419040370', '50419040371', '50419040375']
748800	['00378730053', '00378730085', '57297090211', '57297090213', '59746076442', '59746076443', '60505418300', '60505418301', '60505418303', '68180090211', '68180090213', '68462073329', '68462073384', '75834011529', '75834011584']
801185	['00555913167', '00555913179', '53002157701', '53002157703']
1099269	['00781565815', '70700011584', '70700011585']
748857	['50419040201', '50419040203', '76413013028']
1011081	['51862003601', '51862003603', '53002162701', '53002162703']
748868	['00378728753', '00378728756', '00378728785', '00378729853', '00378729885', '00642747101', '00642747103', '00642747106', '57297085411', '57297085413', '60219153106', '68180085411', '68180085413', '68180085471', '68180085473', '76413011128']
748869	[]
1440185	['50102012000', '50102012001', '50102012003', '50102012010', '50102012048', '50102022021', '50102022023', '53002169201', '53002169203', '53002169206']
750268	['00555904558', '00555904579', '63187088928']
1538130	['51660057286']
1304988	['16714035901', '16714035902', '16714035903', '16714035904']
1795598	['69238153106']
751885	['00555901467', '00555901479']
753485	[]
751884	['51862002801', '51862002806', '53002163201', '53002163203', '53002163206']
1428933	['00254203273', '00254203280', '00254203291', '00603763401', '00603763417', '00603763449', '50090138000', '50090430300', '53002164701', '53002164703', '53002164706']
753544	['51862054501', '51862054506', '53002153901', '53002153903', '53002153906']
1720616	['00781557515', '70700011884', '70700011885']
749568	[]
749569	[]
753486	[]
1358763	['00378728353', '00378728385', '50090247800']
1724801	['68180086511', '68180086513', '68180086571', '68180086573']
1358764	[]
1358765	['00555902658', '68788683202']
1440183	['16714040601', '16714040602', '16714040603', '16714040604']
1358770	['51285012570', '51285012698']
1358775	['51862001201', '51862001206', '53002161601', '53002161603', '53002161606']
1550536	['50102012801', '50102012803', '50102022821', '50102022823', '53002171101', '53002171103', '53002171106']
1358776	['00378728053', '00378728085', '00378728098', '68462013279', '68462013281']
1358777	[]
1358780	['00555902542']
1487086	['16714040801', '16714040802', '16714040803', '16714040804']
1358781	['51285013197']
1359020	['51862000701', '51862000706', '53002154901', '53002154903', '53002154906']
748878	['00378655053', '00378655056', '00378655085', '60219155406']
1006065	['00781558307', '00781558315', '00781558336', '70700011684', '70700011685']
1364848	['50102013000', '50102013001', '50102013003', '50102013010', '50102013048', '50102013090', '50102023021', '50102023023', '53002168301', '53002168303', '53002168306']
1356074	['57297084411', '57297084413', '68180084411', '68180084413', '68180084471', '68180084473']
753532	['50419041112']
748879	['51862009701', '51862009706', '53002156501', '53002156503', '53002156506']
1805273	['69238155406']
1245919	['50090139200', '68462038829', '68462038884', '68788633902']
748886	[]
751890	['00555902058', '00555902079']
749571	[]
753533	[]
749572	[]
749573	[]
1359023	['00378728853', '00378728885']
1729516	['68180086611', '68180086613', '68180086671', '68180086673']
1359024	[]
1359025	['00555902858', '63187089028']
1440937	['16714040501', '16714040502', '16714040503', '16714040504']
1359026	['51285012870', '51285012998']
1359027	['51862029201', '51862029206', '53002156701', '53002156703', '53002156706']
1359028	['00378727453', '00378727485']
1359029	[]
1359030	['00555902742']
1537209	['16714040701', '16714040702', '16714040703', '16714040704']
1359031	['51285012797']
1359032	['51862027901', '51862027906']
749786	['24090096184']
750265	['00555904958', '00555904979', '35356037028', '51285054628', '70518121400']
1305089	['16714036501', '16714036502', '16714036503', '16714036504']
749787	['24090080184']
750244	['51862056401', '51862056406', '53002163701', '53002163703', '53002163706']
749159	[]
749160	[]
748804	['00378730753', '00378730785']
899866	[]
753483	['00555906458', '00555906479']
748859	['51862026001', '51862026006', '53002159101', '53002159103', '53002159106']
750248	[]
750249	[]
1095224	['00378729753', '00378729785', '68180089713']
1244908	['00430001005']
1244909	[]
1486452	['68180087311', '68180087313', '68180089913']
1483558	['65162034784']
1095225	[]
750269	[]
749736	[]
1095362	['00555903458', '00555903479']
1094543	['68462031629', '68462031684']
1367691	['00603359001', '00603359017', '00603359049']
749737	['00430058045']
1235874	['16714034701', '16714034702', '16714034703', '16714034704']
1485332	['57297087511', '57297087513', '68180087511', '68180087513']
753536	['00093330516', '00093330528', '52544095328']
748997	[]
748998	[]
749879	[]
749880	['52544025428']
761983	[]
753396	[]
751875	['51862031801', '51862031803']
751868	['00555900867', '00555900879']
1300911	['16714037001', '16714037002', '16714037003', '16714037004']
751876	[]
753264	[]
753398	[]
751877	[]
749858	[]
1242786	['50090147700', '68462039429', '68462039484']
1047040	['00603752101', '00603752117', '00603752149', '00603752199', '53002164801', '53002164803', '53002164806', '76413010528']
1300538	['16714034801', '16714034802', '16714034803', '16714034804']
761985	[]
751879	[]
753550	[]
749881	[]
751870	['00555901058', '00555901079']
749859	['50458017600', '50458017606', '50458017615', '50458017628']
1427300	['68180089311', '68180089313', '68180089371', '68180089373']
749869	[]
751880	[]
753549	[]
753273	[]
751871	['00555900942', '00555900957', '00555900980']
749870	[]
749860	['00378728653', '00378728685', '17478026006', '17478026028', '42291055328', '42291055384', '50090225900', '53002173201', '53002173203', '53002173206', '68180084011', '68180084013', '68180084071', '68180084073', '68462030929', '68462030984']
1369737	['00781405815', '70700011984', '70700011985']
1796922	['69238155106']
1800499	['50090396200', '65862077628', '65862077685', '65862077686', '65862077687', '65862077688', '65862077692']
1365899	['16714036001', '16714036002', '16714036003', '16714036004', '50090488100']
762003	['52544024728', '53002156301', '53002156303', '53002156306', '63187005428', '76413016628']
749861	['50458019700', '50458019706', '50458019712', '50458019728']
753478	['00254202980', '00254202991', '00603764201', '00603764217', '53002119101', '53002119103', '53002119106', '70518201000', '76413012128']
753481	['00555901658', '53217009128', '63187091128', '68788742902']
749867	[]
748806	['00378730653', '00378730685']
750255	[]
748864	[]
750253	[]
750254	[]
753476	[]
753477	[]
763389	[]
750242	['55289088704', '63629266601']
750243	['52544084828']
762008	[]
762812	[]
762813	[]
851749	['00173077900']
851748	['49884088099']
996634	['00456320014']
996572	['00591390087', '62980012301', '64679012301']
749871	[]
762677	[]
749872	[]
834023	['00009005604', '50090009200']
762675	['00591079021', '00603459315', '00781502207', '33261033521', '33358024121', '35356076321', '42806040021', '49999015321', '50090381100', '50436403701', '50742018921', '51991018831', '52959010000', '59746000103', '59762332701', '59762444002', '60760037321', '61919014921', '63187016021', '63187080221', '68001000501', '68180068611', '68382091634', '68788734302', '68788765502', '69306000421', '70518154100', '70625023711', '72189000821', '72647033104', '76420004121']
1235042	['23594050521']
1013114	[]
845494	[]
763185	['00591544221', '00603533815', '50090100100', '50436432501', '50436432502', '70954005930']
845492	[]
