signal	unit	muliplier	addition	Round	rndf
Neutrophils#	1000 cells/uL	1	0	0.1	
Neutrophils%	1	1	0	0.1	
Neutrophils%	%	1	0	0.1	
Neutrophils%	UNK	1	0	0.1	
Neutrophils%	Cells/mcL	1	0	0.1	
Neutrophils%	PERCENT	1	0	0.1	
Neutrophils%	NA	1	0	0.1	
PSA	NG/ML	1	0	0.1	
PSA	1	1	0	0.1	
PSA	UNK	1	0	0.1	
PSA	0	1	0	0.1	
PSA	Nanogram/mL	1	0	0.1	
PSA	ng/dL	1	0	0.1	
PSA	ng/mL	1	0	0.1	
PSA	ug/L	1	0	0.1	
PSA	ng/ml	1	0	0.1	
PSA	NA	1	0	0.1	
PSA_Free	NG/ML	1	0	0.1	
PSA_Free	1	1	0	0.1	
PSA_Free	UNK	1	0	0.1	
PSA_Free	IU/L	1	0	0.1	
PSA_Free	ng/mL	1	0	0.1	
Platlets	Thousand/uL	1	0	1	
Potassium	1	1	0	0.1	
Potassium	mEQ/L	1	0	0.1	
Potassium	mEq/L	1	0	0.1	
Potassium	mmoL/L	1	0	0.1	
Potassium	MEQ/L	1	0	0.1	
Potassium	mmol/L	1	0	0.1	
Potassium	meq/L	1	0	0.1	
Potassium	mMol/L	1	0	0.1	
Potassium	UNK	1	0	0.1	
Potassium	0	1	0	0.1	
Potassium	MMOL/L	1	0	0.1	
Potassium	NA	1	0	0.1	
Testosterone	NG/DL	1	0	0.1	
Testosterone	pg/mL	1	0	0.1	
Testosterone	ng/dL	1	0	0.1	
Testosterone	UNK	1	0	0.1	
Testosterone	0	1	0	0.1	
Testosterone	1	1	0	0.1	
Testosterone	NA	1	0	0.1	
Testosterone_free	pg/mL	1	0	0.1	
Testosterone_free	1	1	0	0.1	
Testosterone_free	NG/DL	1	0	0.1	
Testosterone_free	UNK	1	0	0.1	
Testosterone_free	0	1	0	0.1	
Testosterone_free	ng/dL	1	0	0.1	
Testosterone_free	PG/ML	1	0	0.1	
Testosterone_free	NA	1	0	0.1	
Uric_Acid	mg/dL	1	0	0.1	
Uric_Acid	1	1	0	0.1	
Uric_Acid	MMOL/MOL CR	1	0	0.1	
Uric_Acid	MG/DL	1	0	0.1	
Uric_Acid	UNK	1	0	0.1	
Uric_Acid	0	1	0	0.1	
Uric_Acid	mg/dl	1	0	0.1	
Uric_Acid	NA	1	0	0.1	
Urine_MicroAlbumin	mg/dL	1	0	0.1	182962
Urine_MicroAlbumin	MG/DL	1	0	0.1	241
Urine_MicroAlbumin	UG/ML	1	0	0.1	271354
Urine_MicroAlbumin	1	1	0	0.1	19620
