"icd9cm","icd10cm","flags","approximate","no_map","combination","scenario","choice_list"
"0028","B444ZZ3","10000",1,0,0,0,0
"0028","B44BZZ3","10000",1,0,0,0,0
"0028","B34VZZ3","10000",1,0,0,0,0
"0028","B44KZZ3","10000",1,0,0,0,0
"0028","B544ZZ3","10000",1,0,0,0,0
"0028","B34RZZ3","10000",1,0,0,0,0
"0028","B44NZZ3","10000",1,0,0,0,0
"0029","B44NZZ3","10000",1,0,0,0,0
"0029","B44GZZ3","10000",1,0,0,0,0
"0029","B341ZZ3","10000",1,0,0,0,0
"0029","A014","00000",0,0,0,0,0
"0029","B54CZZ3","10000",1,0,0,0,0
"0029","B44FZZ3","10000",1,0,0,0,0
"0029","B54DZZ3","10000",1,0,0,0,0
"0029","B54BZZ3","10000",1,0,0,0,0
"0029","B245ZZ3","10000",1,0,0,0,0
"0029","B340ZZ3","10000",1,0,0,0,0
"0029","B547ZZ3","10000",1,0,0,0,0
"0029","B448ZZ3","10000",1,0,0,0,0
"0029","B54KZZ3","10000",1,0,0,0,0
"0029","B54JZZ3","10000",1,0,0,0,0
"0029","B246ZZ3","10000",1,0,0,0,0
"0029","B34HZZ3","10000",1,0,0,0,0
"0029","B54PZZ3","10000",1,0,0,0,0
"0029","B344ZZ3","10000",1,0,0,0,0
"0029","B546ZZ3","10000",1,0,0,0,0
"0029","B54MZZ3","10000",1,0,0,0,0
"0029","B34TZZ3","10000",1,0,0,0,0
"0029","B44BZZ3","10000",1,0,0,0,0
"0029","B241ZZ3","10000",1,0,0,0,0
"0029","B44HZZ3","10000",1,0,0,0,0
"0029","B44KZZ3","10000",1,0,0,0,0
"0029","B24CZZ3","10000",1,0,0,0,0
"0029","B34RZZ3","10000",1,0,0,0,0
"0029","B343ZZ3","10000",1,0,0,0,0
"0029","B440ZZ3","10000",1,0,0,0,0
"0029","B34KZZ3","10000",1,0,0,0,0
"0029","B447ZZ3","10000",1,0,0,0,0
"0029","B346ZZ3","10000",1,0,0,0,0
"0029","B240ZZ3","10000",1,0,0,0,0
"0029","B348ZZ3","10000",1,0,0,0,0
"0029","B54NZZ3","10000",1,0,0,0,0
"0029","B34VZZ3","10000",1,0,0,0,0
"0029","B34SZZ3","10000",1,0,0,0,0
"0029","B244ZZ3","10000",1,0,0,0,0
"0029","B548ZZ3","10000",1,0,0,0,0
"0029","B549ZZ3","10000",1,0,0,0,0
"0029","B342ZZ3","10000",1,0,0,0,0
"0029","B24BZZ3","10000",1,0,0,0,0
"0029","B543ZZ3","10000",1,0,0,0,0
"0029","B445ZZ3","10000",1,0,0,0,0
"0029","B444ZZ3","10000",1,0,0,0,0
