ISBT	Description	prodCDC
E5119	Apheresis RED BLOOD CELLS|CPDA-1/XX/refg|ResLeu:<5log6|2nd container	LRAPHRBC
E5120	WHOLE BLOOD|CPDA-1/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag not adj	WB
E5121	WHOLE BLOOD|CPDA-1/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag adj	WB
E5122	RED BLOOD CELLS|CPD>AS1/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag not adj	IRLRWBDRBC
E5123	RED BLOOD CELLS|CPD>AS1/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag adj	IRLRWBDRBC
E5124	RED BLOOD CELLS|CP2D>AS3/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag not adj	IRLRWBDRBC
E5125	RED BLOOD CELLS|CP2D>AS3/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag adj	IRLRWBDRBC
E5126	RED BLOOD CELLS|CPD>AS5/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag not adj	IRLRWBDRBC
E5127	RED BLOOD CELLS|CPD>AS5/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag adj	IRLRWBDRBC
E5128	WHOLE BLOOD|CPDA-1/350mL/refg	WB
E5129	RED BLOOD CELLS|CPDA-1/350mL/refg	WBDRBC
E5130	RED BLOOD CELLS|CPDA-1/450mL/refg|ResLeu:<1.2log9	LRWBDRBC
E5131	RED BLOOD CELLS|CPD/450mL/refg|Open|ResLeu:<1log6	LRWBDRBC
E5132	RED BLOOD CELLS|CPDA-1/350mL/refg|ResLeu:<1.2log9	LRWBDRBC
E5133	RED BLOOD CELLS|CPDA-1/350mL/refg|Open|ResLeu:<1log6	LRWBDRBC
E5134	RED BLOOD CELLS|CPDA-1/450mL/refg|Irradiated|ResLeu:<1.2log9	IRLRWBDRBC
E5135	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|Irradiated|ResLeu:<1log6	IRLRWBDRBC
E5136	RED BLOOD CELLS|CPDA-1/350mL/refg|Irradiated|ResLeu:<1.2log9	IRLRWBDRBC
E5137	RED BLOOD CELLS|CPDA-1/350mL/refg|Open|Irradiated|ResLeu:<1log6	IRLRWBDRBC
E5138	RED BLOOD CELLS|SAGM/450mL/refg|Open|ResLeu:<1log6	LRWBDRBC
E5139	RED BLOOD CELLS|SAGM/450mL/refg|Open|Irradiated|ResLeu:<1log6	IRLRWBDRBC
E5140	Washed RED BLOOD CELLS|None/350mL/refg|Open	WBDRBC
E5141	Washed RED BLOOD CELLS|None/350mL/refg|Open|Irradiated	IRWBDRBC
E5142	PLASMA|CPDA-1/XX/<=-18C|Open|Cryo reduced	WBDPLASMA
E5143	PLASMA|CPD/XX/<=-18C|Open|Cryo reduced	WBDPLASMA
E5144	POOLED SERUM|None/XX/refg	SERUM
E5145	Apheresis PLASMA|NaCitrate/XX/<=-18C|Cryo reduced|Aphr not automated	APHPLASMA
E5146	Frozen POOLED SERUM|None/XX/<=-18C	SERUM
E5147	POOLED PLATELETS|CP2D/XX/20-24C|Open|ResLeu:<5log6	LRWBDPLAT
E5148	POOLED PLATELETS|CPD/XX/20-24C|Open|ResLeu:<5log6	LRWBDPLAT
E5149	POOLED PLATELETS|CPDA-1/XX/20-24C|Open|ResLeu:<5log6	LRWBDPLAT
E5150	POOLED PLATELETS|CP2D/XX/20-24C|Open	WBDPLAT
E5151	POOLED PLATELETS|CPD/XX/20-24C|Open	WBDPLAT
E5152	POOLED PLATELETS|CPDA-1/XX/20-24C|Open	WBDPLAT
E5154	RED BLOOD CELLS|CPD>AS5/250mL/refg	WBDRBC
E5155	RED BLOOD CELLS|CPDA-1/XX/refg|ResLeu:<5log6|LowVol:anticoag not adj	LRWBDRBC
E5156	RED BLOOD CELLS|CPDA-1/XX/refg|ResLeu:<5log6|LowVol:anticoag adj	LRWBDRBC
E5157	RED BLOOD CELLS|CPD>AS1/XX/refg|ResLeu:<5log6|LowVol:anticoag not adj	LRWBDRBC
E5158	RED BLOOD CELLS|CPD>AS1/XX/refg|ResLeu:<5log6|LowVol:anticoag adj	LRWBDRBC
E5159	RED BLOOD CELLS|CPD>AS5/250mL/refg|ResLeu:<5log6	LRWBDRBC
E5160	Washed RED BLOOD CELLS|None/XX/refg|Open	WBDRBC
E5161	RED BLOOD CELLS|CPD/XX/refg|Irradiated|LowVol:anticoag adj	IRWBDRBC
E5164	RED BLOOD CELLS|CPD>AS5/250mL/refg|Irradiated	IRWBDRBC
E5165	CRYOPRECIPITATE|None/NS/<=-18C	CRYO
E5166	CRYOPRECIPITATE|None/NS/<=-18C|Irradiated	CRYO
E5167	RED BLOOD CELLS|CPD>AS5/250mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E5168	Washed RED BLOOD CELLS|None/XX/refg|Open|Irradiated	IRWBDRBC
E5169	Washed RED BLOOD CELLS|None/XX/refg|Open|ResLeu:<5log6	LRWBDRBC
E5170	Washed RED BLOOD CELLS|None/XX/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E5171	Frozen Rejuvenated RED BLOOD CELLS|None/XX/<-65C|Open	WBDRBC
E5172	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open	APHRBC
E5173	Deglycerolized Rejuvenated Apheresis RED BLOOD CELLS|None/XX/refg|Open	APHRBC
E5174	Deglycerolized Rejuvenated RED BLOOD CELLS|None/XX/refg|Open	WBDRBC
E5175	Deglycerolized Rejuvenated Apheresis RED BLOOD CELLS|None/XX/refg|Open|ResLeu:<5log6	LRAPHRBC
E5176	Frozen Rejuvenated RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated	IRWBDRBC
E5177	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated	IRAPHRBC
E5178	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated|1st container	IRAPHRBC
E5179	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated|2nd container	IRAPHRBC
E5180	Deglycerolized Rejuvenated RED BLOOD CELLS|None/XX/refg|Open|Irradiated	IRWBDRBC
E5181	Rejuvenated RED BLOOD CELLS|None/XX/refg|Open|Irradiated	IRWBDRBC
E5182	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|ResLeu:<5log6	LRAPHRBC
E5183	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|ResLeu:<5log6|2nd container	LRAPHRBC
E5184	Deglycerolized Rejuvenated Apheresis RED BLOOD CELLS|None/XX/refg|Open|Irradiated	IRAPHRBC
E5185	Deglycerolized Rejuvenated Apheresis RED BLOOD CELLS|None/XX/refg|Open|Irradiated|ResLeu:<5log6	IRLRAPHRBC
E5186	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<=-18C|ResLeu:<5log6	APHPLASMA
E5187	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-65C|ResLeu:<5log6	APHPLASMA
E5188	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<=-18C|Irradiated|ResLeu:<5log6	APHPLASMA
E5189	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-65C|Irradiated|ResLeu:<5log6	APHPLASMA
E5190	FRESH FROZEN PLASMA|CP2D/XX/<=-18C|ResLeu:<5log6	WBDPLASMA
E5191	FRESH FROZEN PLASMA|CPD/XX/<=-18C|ResLeu:<5log6	WBDPLASMA
E5192	FRESH FROZEN PLASMA|CPDA-1/XX/<=-18C|ResLeu:<5log6	WBDPLASMA
E5193	PLASMA|CP2D/XX/<=-18C|ResLeu:<5log6	WBDPLASMA
E5194	PLASMA|CPD/XX/<=-18C|ResLeu:<5log6	WBDPLASMA
E5195	PLASMA|CPDA-1/XX/<=-18C|ResLeu:<5log6	WBDPLASMA
E5225	POOLED PLATELETS|CP2D/XX/20-24C|Open|Irradiated	IRWBDPLAT
E5226	POOLED PLATELETS|CPD/XX/20-24C|Open|Irradiated	IRWBDPLAT
E5227	POOLED PLATELETS|CPDA-1/XX/20-24C|Open|Irradiated	IRWBDPLAT
E5228	POOLED PLATELETS|CP2D/XX/20-24C|Open|Irradiated|ResLeu:<5log6	IRLRWBDPLAT
E5229	POOLED PLATELETS|CPD/XX/20-24C|Open|Irradiated|ResLeu:<5log6	IRLRWBDPLAT
E5230	POOLED PLATELETS|CPDA-1/XX/20-24C|Open|Irradiated|ResLeu:<5log6	IRLRWBDPLAT
E5239	RED BLOOD CELLS|CPDA-1/450mL/refg|Open|ResLeu:<1log6	LRWBDRBC
E5240	RED BLOOD CELLS|CPD/XX/refg|ResLeu:<5log6|LowVol:anticoag not adj	LRWBDRBC
E5241	RED BLOOD CELLS|CPD/XX/refg|ResLeu:<5log6|LowVol:anticoag adj	LRWBDRBC
E5242	RED BLOOD CELLS|CP2D>AS3/XX/refg|ResLeu:<5log6|LowVol:anticoag not adj	LRWBDRBC
E5243	RED BLOOD CELLS|CP2D>AS3/XX/refg|ResLeu:<5log6|LowVol:anticoag adj	LRWBDRBC
E5244	RED BLOOD CELLS|CPD>AS5/XX/refg|ResLeu:<5log6|LowVol:anticoag not adj	LRWBDRBC
E5245	RED BLOOD CELLS|CPD>AS5/XX/refg|ResLeu:<5log6|LowVol:anticoag adj	LRWBDRBC
E5246	RED BLOOD CELLS|CPDA-1/XX/refg|Irradiated|LowVol:anticoag not adj	IRWBDRBC
E5247	RED BLOOD CELLS|CPDA-1/XX/refg|Irradiated|LowVol:anticoag adj	IRWBDRBC
E5248	RED BLOOD CELLS|CP2D>AS3/XX/refg|Irradiated|LowVol:anticoag not adj	IRWBDRBC
E5249	RED BLOOD CELLS|CP2D>AS3/XX/refg|Irradiated|LowVol:anticoag adj	IRWBDRBC
E5250	RED BLOOD CELLS|CPD>AS5/XX/refg|Irradiated|LowVol:anticoag not adj	IRWBDRBC
E5251	RED BLOOD CELLS|CPD>AS5/XX/refg|Irradiated|LowVol:anticoag adj	IRWBDRBC
E5252	RED BLOOD CELLS|CPD/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag not adj	IRLRWBDRBC
E5253	RED BLOOD CELLS|CPD/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag adj	IRLRWBDRBC
E5254	Rejuvenated RED BLOOD CELLS|None/XX/refg|Open	WBDRBC
E5255	Rejuvenated Apheresis RED BLOOD CELLS|None/XX/refg|Open	APHRBC
E5256	Thawed CRYOPRECIPITATE|None/NS/rt	CRYO
E5257	Thawed CRYOPRECIPITATE|None/NS/rt|Irradiated	CRYO
E5258	RED BLOOD CELLS|SAGM/450mL/refg|ResLeu:<1log6 WB filtr	LRWBDRBC
E5259	RED BLOOD CELLS|SAGM/450mL/refg|ResLeu:<1log6 RBC filtr	LRWBDRBC
E5260	RED BLOOD CELLS|SAGM/450mL/refg|Irradiated|ResLeu:<1log6 WB filtr	IRLRWBDRBC
E5261	RED BLOOD CELLS|SAGM/450mL/refg|Irradiated|ResLeu:<1log6 RBC filtr	IRLRWBDRBC
E5262	Washed RED BLOOD CELLS|None/450mL/refg|ResLeu:<1log6 WB filtr	LRWBDRBC
E5263	Washed RED BLOOD CELLS|None/450mL/refg|ResLeu:<1log6 RBC filtr	LRWBDRBC
E5264	Washed RED BLOOD CELLS|None/450mL/refg|Irradiated|ResLeu:<1log6 WB filtr	IRLRWBDRBC
E5265	Washed RED BLOOD CELLS|None/450mL/refg|Irradiated|ResLeu:<1log6 RBC filtr	IRLRWBDRBC
E5266	FRESH FROZEN PLASMA|CPD/XX/<-30C|ResLeu:<1log6 WB filtr	WBDPLASMA
E5273	Thawed Apheresis FRESH FROZEN PLASMA|CP2D/XX/refg	APHPLASMA
E5275	Thawed POOLED PLASMA|CPD/XX/refg|Open|Frozen <=24h	WBDPLASMA
E5276	Apheresis GRANULOCYTES|NaCitrate-HES/XX/rt|Open|Irradiated|RBC reduced by sedimentation	GRAN
E5277	RED BLOOD CELLS|CPD/XX/refg|ResLeu:<5log6|Supernat rem/Plasma added|From 2 donors	LRWBDRBC
E5278	RED BLOOD CELLS|CPD/XX/refg|ResLeu:<5log6|Supernat rem/Plasma added	LRWBDRBC
E5279	POOLED PLATELETS|CP2D/XX/20-24C|ResLeu:<5log6|Bacterial test	LRWBDPLAT
E5280	POOLED PLATELETS|CP2D/XX/20-24C|Irradiated|ResLeu:<5log6|Bacterial test	IRLRWBDPLAT
E5284	Thawed POOLED CRYOPRECIPITATE|NS/XX/rt|Open	CRYO
E5285	CRYOPRECIPITATE|CPD/450mL/<-30C|ResLeu:<1log6|Quar:>=62d/retested	CRYO
E5286	PLASMA|CPD/450mL/<-30C|ResLeu:<1log6|Cryo reduced|Quar:>=62d/retested	WBDPLASMA
E5288	FRESH FROZEN PLASMA|CPD/450mL/<-30C|ResLeu:<1log6|Quar:>=62d/retested	WBDPLASMA
E5289	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-30C|ResLeu:<1log6|>=200 mL<400mL|Quar:>=62d/retested	APHPLASMA
E5290	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-30C|ResLeu:<1log6|>=400mL<600mL|Quar:>=62d/retested	APHPLASMA
E5291	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-30C|ResLeu:<1log6|>=600mL|Quar:>=62d/retested	APHPLASMA
E5292	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-30C|ResLeu:<1log6|>=200 mL<400mL	APHPLASMA
E5293	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-30C|ResLeu:<1log6|>=400mL<600mL	APHPLASMA
E5294	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-30C|ResLeu:<1log6|>=600mL	APHPLASMA
E5295	Apheresis PLATELETS|ACD-A>PASIII/XX/20-24C|ResLeu:<1log6|1st container|Psoralen-treated	LRAPHPLAT
E5296	Apheresis PLATELETS|ACD-A>PASIII/XX/20-24C|ResLeu:<1log6|2nd container|Psoralen-treated	LRAPHPLAT
E5298	Thawed POOLED FRESH FROZEN PLASMA|CPD/XX/refg|Open	WBDPLASMA
E5299	Frozen Rejuvenated RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E5300	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated|ResLeu:<5log6	IRLRAPHRBC
E5301	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated|ResLeu:<5log6|1st con...	IRLRAPHRBC
E5302	Frozen Rejuvenated Apheresis RED BLOOD CELLS|None/XX/<-65C|Open|Irradiated|ResLeu:<5log6|2nd con...	IRLRAPHRBC
E5303	RED BLOOD CELLS|CPD/450mL/refg|ResLeu:<1log6|Buffy coat removed	LRWBDRBC
E5304	Thawed POOLED PLASMA|CPD/XX/refg|Open|Cryo reduced	WBDPLASMA
E5305	Thawed POOLED PLASMA|CP2D/XX/refg|Open|Cryo reduced	WBDPLASMA
E5306	Thawed POOLED PLASMA|CPDA-1/XX/refg|Open|Cryo reduced	WBDPLASMA
E5307	Thawed POOLED PLASMA|CPDA-1/XX/refg|Open|Frozen <=24h	WBDPLASMA
E5308	Thawed POOLED PLASMA|CP2D/XX/refg|Open|Frozen <=24h	WBDPLASMA
E5309	Thawed POOLED FRESH FROZEN PLASMA|CP2D/XX/refg|Open	WBDPLASMA
E5310	Thawed POOLED FRESH FROZEN PLASMA|CPDA-1/XX/refg|Open	WBDPLASMA
E5311	Apheresis FRESH FROZEN PLASMA|ACD-A/XX/<-30C|ResLeu:<1log6|>=200 mL<400mL|Methylene blue-treated	APHPLASMA
E5312	RED BLOOD CELLS|CPD/450mL/refg|Open|Irradiated|ResLeu:<5log6|Supernat rem/Plasma added|From 2 donors	IRLRWBDRBC
E5313	Deglycerolized RED BLOOD CELLS|None/XX/refg|Open|Irradiated|ResLeu:<5log6|Supernat rem/Plasma ad...	IRLRWBDRBC
E5314	Deglycerolized RED BLOOD CELLS|None/XX/refg|Open|ResLeu:<5log6|Supernat rem/Plasma added|From 2 ...	LRWBDRBC
E5315	Washed RED BLOOD CELLS|None/XX/refg|Open|ResLeu:<5log6|Plasma added|From 2 donors	LRWBDRBC
E5316	Washed RED BLOOD CELLS|None/XX/refg|Open|Irradiated|ResLeu:<5log6|Plasma added|From 2 donors	IRLRWBDRBC
E5319	Apheresis PLATELETS|NS/XX/20-24C|ResLeu:<1log6|1st container|Approx 480 log9 plts	LRAPHPLAT
E5320	Apheresis PLATELETS|NS/XX/20-24C|Irradiated|ResLeu:<1log6|1st container|Approx 480 log9 plts	IRLRAPHPLAT
E5321	Apheresis PLATELETS|NS/XX/20-24C|ResLeu:<1log6|2nd container|Approx 480 log9 plts	LRAPHPLAT
E5322	Apheresis PLATELETS|None/XX/20-24C|Irradiated|ResLeu:<1log6|2nd container|Approx 480 log9 plts	IRLRAPHPLAT
E5323	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|1st container|Approx 300 log9 plts	LRAPHPLAT
E5324	Apheresis PLATELETS|ACD-A/XX/20-24C|ResLeu:<5log6|2nd container|Approx 300 log9 plts	LRAPHPLAT
E5325	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|1st container|Approx 300 log9 plts	IRLRAPHPLAT
E5326	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|2nd container|Approx 300 log9 plts	IRLRAPHPLAT
E5329	PLASMA|CP2D/450mL/<=-18C|ResLeu:NS|Frozen <=24h	WBDPLASMA
E5330	PLASMA|CP2D/450mL/<=-18C|ResLeu:NS|Cryo reduced	WBDPLASMA
E5331	CRYOPRECIPITATE|CP2D/450mL/<=-18C|ResLeu:NS	CRYO
E5335	FRESH FROZEN PLASMA|CP2D/450mL/<=-18C|ResLeu:NS	WBDPLASMA
E5337	Washed RED BLOOD CELLS|None/450mL/refg|ResLeu:<5log6	LRWBDRBC
E5338	Washed RED BLOOD CELLS|None/450mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E5339	RED BLOOD CELLS|PAGGS-M/500mL/refg|ResLeu:<1log6	LRWBDRBC
E5342	PLATELETS|CPD/500mL/20-24C|Open|Irradiated|ResLeu:<8.3log5	IRLRWBDPLAT
E5343	PLATELETS|CPD/500mL/20-24C|Open|ResLeu:<8.3log5	LRWBDPLAT
E5344	PLATELETS|CPD/500mL/20-24C|Open|ResLeu:<8.3log5|Plasma reduced	LRWBDPLAT
E5345	PLATELETS|CPD/500mL/20-24C|Open|Irradiated|ResLeu:<8.3log5|Plasma reduced	IRLRWBDPLAT
E5346	PLATELETS|CPD/500mL/20-24C|Open|Plasma reduced	WBDPLAT
E5347	PLATELETS|CPD/500mL/20-24C|Open|Irradiated|Plasma reduced	IRWBDPLAT
E5348	POOLED PLATELETS|CPD/XX/20-24C|Open|Plasma reduced	WBDPLAT
E5349	POOLED PLATELETS|CPD/XX/20-24C|Open|Irradiated|Plasma reduced	IRWBDPLAT
E5350	POOLED PLATELETS|CPD/XX/20-24C|Open|ResLeu:<5log6|Plasma reduced	LRWBDPLAT
E5351	POOLED PLATELETS|CPD/XX/20-24C|Open|Irradiated|ResLeu:<5log6|Plasma reduced	IRLRWBDPLAT
E5352	FRESH FROZEN PLASMA|CPDA-1/350mL/<-30C	WBDPLASMA
E5353	FRESH FROZEN PLASMA|CPDA-1/350mL/<-30C|Frozen <=6h	WBDPLASMA
E5354	FRESH FROZEN PLASMA|CPDA-1/450mL/<-30C	WBDPLASMA
E5355	FRESH FROZEN PLASMA|CPDA-1/450mL/<-30C|Frozen <=6h	WBDPLASMA
E5356	WHOLE BLOOD|CPDA-1/350mL/refg|ResLeu:<1log6	WB
E5357	WHOLE BLOOD|CPDA-1/350mL/refg|Irradiated|ResLeu:<1log6	WB
E5358	CRYOPRECIPITATE|CPD/450mL/<-30C	CRYO
E5359	PLASMA|CPD/450mL/<-30C|Cryo reduced	WBDPLASMA
E5360	RED BLOOD CELLS|CPDA-1/350mL/refg|ResLeu:<1log6	LRWBDRBC
E5361	RED BLOOD CELLS|CPDA-1/350mL/refg|Irradiated|ResLeu:<1log6	IRLRWBDRBC
E5362	RED BLOOD CELLS|CPD/500mL/refg|Open|Irradiated|ResLeu:<5log6|Plasma reduced/Plasma added	IRLRWBDRBC
E5363	RED BLOOD CELLS|CPD/500mL/refg|Open|ResLeu:<5log6|Plasma reduced/Plasma added	LRWBDRBC
E5364	RED BLOOD CELLS|CPD/500mL/refg|Irradiated|ResLeu:<5log6|Plasma reduced	IRLRWBDRBC
E5365	RED BLOOD CELLS|CPD/500mL/refg|ResLeu:<5log6|Plasma reduced	LRWBDRBC
E5366	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Irradiated|ResLeu:<5log6|Supernat rem/Plasma added	IRLRWBDRBC
E5367	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|ResLeu:<5log6|Supernat rem/Plasma added	LRWBDRBC
E5368	RED BLOOD CELLS|CPD>AS5/500mL/refg|Irradiated|ResLeu:<5log6|Supernat reduced	IRLRWBDRBC
E5369	RED BLOOD CELLS|CPD>AS5/500mL/refg|ResLeu:<5log6|Supernat reduced	LRWBDRBC
E5373	WHOLE BLOOD|CPDA-1/XX/refg|Irradiated	WB
E5374	WHOLE BLOOD|CPDA-1/300mL/refg|Irradiated	WB
E5375	Thawed Apheresis FRESH FROZEN PLASMA|ACD-A/XX/refg|ResLeu:<5log6	APHPLASMA
E5376	RED BLOOD CELLS|CPDA-1/XX/refg|Irradiated|ResLeu:<5log6|LowVol:anticoag not adj	IRLRWBDRBC
E5377	Apheresis PLATELETS|ACD-A/XX/20-24C|Irradiated|ResLeu:<5log6|Plasma reduced|<3log11 plts	IRLRAPHPLAT
E5381	PLATELETS|CPD/500mL/20-24C|Open	WBDPLAT
E5385	Apheresis PLATELETS|PASII/XX/20-24C|ResLeu:<2log5|Approx 240 log9 plts	LRAPHPLAT
E5386	Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Approx 240 log9 plts	IRLRAPHPLAT
E5387	Washed Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Approx 240 log9 plts	IRLRAPHPLAT
E5388	Washed Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Supernat reduced|Approx 240 ...	IRLRAPHPLAT
E5389	Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Approx 120 log9 plts	IRLRAPHPLAT
E5390	Apheresis PLATELETS|PASII/XX/20-24C|ResLeu:<2log5|Approx 120 log9 plts	LRAPHPLAT
E5391	Washed Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Supernat reduced|Approx 120 ...	IRLRAPHPLAT
E5392	Washed Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Approx 120 log9 plts	IRLRAPHPLAT
E5393	Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Supernat reduced|Approx 240 log9 plts	IRLRAPHPLAT
E5394	Apheresis PLATELETS|PASII/XX/20-24C|Irradiated|ResLeu:<2log5|Supernat reduced|Approx 120 log9 plts	IRLRAPHPLAT
E5428	Thawed Apheresis PLASMA|ACD-A/XX/refg|Cryo reduced|>=200 mL<400mL	APHPLASMA
E5429	Thawed Apheresis PLASMA|ACD-A/XX/refg|Irradiated|Cryo reduced|>=400mL<600mL	APHPLASMA
E5430	Thawed Apheresis PLASMA|ACD-A/XX/refg|Cryo reduced|>=400mL<600mL	APHPLASMA
E5431	Thawed Apheresis PLASMA|ACD-A/XX/refg|Irradiated|Cryo reduced|>=200 mL<400mL	APHPLASMA
E5432	WHOLE BLOOD|ACD-B/200mL/refg	WB
E5433	WHOLE BLOOD|ACD-B/400mL/refg	WB
E5434	WHOLE BLOOD|ACD-B/200mL/refg|ResLeu:<2.5log6	WB
E5435	WHOLE BLOOD|ACD-B/400mL/refg|ResLeu:<5log6	WB
E5436	WHOLE BLOOD|ACD-B/200mL/refg|Irradiated	WB
E5437	WHOLE BLOOD|ACD-B/400mL/refg|Irradiated	WB
E5438	WHOLE BLOOD|ACD-B/200mL/refg|Irradiated|ResLeu:<2.5log6	WB
E5439	WHOLE BLOOD|ACD-B/400mL/refg|Irradiated|ResLeu:<5log6	WB
E5440	RED BLOOD CELLS|ACD-B>MAP/200mL/refg	WBDRBC
E5441	RED BLOOD CELLS|ACD-B>MAP/400mL/refg	WBDRBC
E5442	RED BLOOD CELLS|ACD-B>MAP/200mL/refg|Irradiated	IRWBDRBC
E5443	RED BLOOD CELLS|ACD-B>MAP/400mL/refg|Irradiated	IRWBDRBC
E5444	RED BLOOD CELLS|ACD-B>MAP/200mL/refg|ResLeu:<2.5log6	LRWBDRBC
E5445	RED BLOOD CELLS|ACD-B>MAP/400mL/refg|ResLeu:<5log6	LRWBDRBC
E5446	RED BLOOD CELLS|ACD-B>MAP/200mL/refg|Irradiated|ResLeu:<2.5log6	IRLRWBDRBC
E5447	RED BLOOD CELLS|ACD-B>MAP/400mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E5448	Washed RED BLOOD CELLS|None/200mL/refg|Open	WBDRBC
E5449	Washed RED BLOOD CELLS|None/400mL/refg|Open	WBDRBC
E5450	Washed RED BLOOD CELLS|None/200mL/refg|Open|Irradiated	IRWBDRBC
E5451	Washed RED BLOOD CELLS|None/400mL/refg|Open|Irradiated	IRWBDRBC
E5452	Frozen RED BLOOD CELLS|Gly40%/200mL/<-65C|Open	WBDRBC
E5453	Frozen RED BLOOD CELLS|Gly40%/400mL/<-65C|Open	WBDRBC
E5454	Frozen RED BLOOD CELLS|Gly40%/200mL/<-65C	WBDRBC
E5455	Frozen RED BLOOD CELLS|Gly40%/400mL/<-65C	WBDRBC
E5456	Deglycerolized RED BLOOD CELLS|None/200mL/refg|Open	WBDRBC
E5457	Deglycerolized RED BLOOD CELLS|None/400mL/refg|Open	WBDRBC
E5458	Deglycerolized RED BLOOD CELLS|None/200mL/refg	WBDRBC
E5459	Deglycerolized RED BLOOD CELLS|None/400mL/refg	WBDRBC
E5460	LEUKOCYTES|ACD-B/200mL/refg	LEUK
E5461	LEUKOCYTES|ACD-B/400mL/refg	LEUK
E5462	LEUKOCYTES|ACD-B/200mL/refg|Irradiated	LEUK
E5463	LEUKOCYTES|ACD-B/400mL/refg|Irradiated	LEUK
E5464	PLATELETS|ACD-B/200mL/20-24C	WBDPLAT
E5465	PLATELETS|ACD-B/400mL/20-24C	WBDPLAT
E5466	PLATELETS|ACD-B/200mL/20-24C|Irradiated	IRWBDPLAT
E5467	PLATELETS|ACD-B/400mL/20-24C|Irradiated	IRWBDPLAT
E5468	POOLED PLATELETS|ACD-B/XX/20-24C	WBDPLAT
E5469	POOLED PLATELETS|ACD-B/XX/20-24C|Irradiated	IRWBDPLAT
E5470	FRESH FROZEN PLASMA|ACD-B/400mL/<=-18C	WBDPLASMA
E5471	FRESH FROZEN PLASMA|ACD-B/200mL/<=-18C|Methylene blue-treated	WBDPLASMA
E5472	FRESH FROZEN PLASMA|ACD-B/400mL/<=-18C|Methylene blue-treated	WBDPLASMA
E5473	PLASMA|ACD-B/200mL/<=-18C	WBDPLASMA
E5474	PLASMA|ACD-B/400mL/<=-18C	WBDPLASMA
E5475	PLASMA|ACD-B/200mL/<=-18C|Methylene blue-treated	WBDPLASMA
E5476	PLASMA|ACD-B/400mL/<=-18C|Methylene blue-treated	WBDPLASMA
E5477	CRYOPRECIPITATE|ACD-B/400mL/<=-18C	CRYO
