ISBT	Description	prodCDC
E0382	RED BLOOD CELLS|CP2D>AS3/500mL/refg|ResLeu:<5log6	LRWBDRBC
E0383	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Supernat rem	WBDRBC
E0384	RED BLOOD CELLS|CP2D>AS3/500mL/refg|Supernat rem/Plasma added	WBDRBC
E0385	RED BLOOD CELLS|CPD>AS5/450mL/refg	WBDRBC
E0389	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open	WBDRBC
E0390	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open|Irradiated	IRWBDRBC
E0391	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0392	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open|Irradiated|Supernat rem	IRWBDRBC
E0393	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0394	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0395	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open|Supernat rem	WBDRBC
E0396	RED BLOOD CELLS|CPD>AS5/450mL/refg|Open|Supernat rem/Plasma added	WBDRBC
E0397	RED BLOOD CELLS|CPD>AS5/450mL/refg|Irradiated	IRWBDRBC
E0398	RED BLOOD CELLS|CPD>AS5/450mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0399	RED BLOOD CELLS|CPD>AS5/450mL/refg|Irradiated|Supernat rem	IRWBDRBC
E0400	RED BLOOD CELLS|CPD>AS5/450mL/refg|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0401	RED BLOOD CELLS|CPD>AS5/450mL/refg|ResLeu:<5log6	LRWBDRBC
E0402	RED BLOOD CELLS|CPD>AS5/450mL/refg|Supernat rem	WBDRBC
E0403	RED BLOOD CELLS|CPD>AS5/450mL/refg|Supernat rem/Plasma added	WBDRBC
E0404	RED BLOOD CELLS|CPD>AS5/500mL/refg	WBDRBC
E0408	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open	WBDRBC
E0409	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Irradiated	IRWBDRBC
E0410	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0411	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Irradiated|Plasma added	IRWBDRBC
E0412	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Irradiated|Supernat rem	IRWBDRBC
E0413	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0414	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|ResLeu:<5log6	LRWBDRBC
E0415	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Albumin added	WBDRBC
E0416	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Plasma added	WBDRBC
E0417	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Supernat rem	WBDRBC
E0418	RED BLOOD CELLS|CPD>AS5/500mL/refg|Open|Supernat rem/Plasma added	WBDRBC
E0419	RED BLOOD CELLS|CPD>AS5/500mL/refg|Irradiated	IRWBDRBC
E0420	RED BLOOD CELLS|CPD>AS5/500mL/refg|Irradiated|ResLeu:<5log6	IRLRWBDRBC
E0421	RED BLOOD CELLS|CPD>AS5/500mL/refg|Irradiated|Plasma added	IRWBDRBC
E0422	RED BLOOD CELLS|CPD>AS5/500mL/refg|Irradiated|Supernat rem	IRWBDRBC
E0423	RED BLOOD CELLS|CPD>AS5/500mL/refg|Irradiated|Supernat rem/Plasma added	IRWBDRBC
E0424	RED BLOOD CELLS|CPD>AS5/500mL/refg|ResLeu:<5log6	LRWBDRBC
E0426	RED BLOOD CELLS|CPD>AS5/500mL/refg|Plasma added	WBDRBC
E0427	RED BLOOD CELLS|CPD>AS5/500mL/refg|Supernat rem	WBDRBC
