routecode	routecodeHier	formcode	formcodeHier	Route|FORM
2692666	0: 2692666~1: P.Ear	50486	0: 50486~1: AMP	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50501	0: 50501~1: SOL	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50495	0: 50495~1: LIQ	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50488	0: 50488~1: CRM	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50497	0: 50497~1: OINT	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50503	0: 50503~1: SUP	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50494	0: 50494~1: INJ	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50502	0: 50502~1: SPR	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50492	0: 50492~1: GEL	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50504	0: 50504~1: SUS	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50505	0: 50505~1: SYR	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50506	0: 50506~1: TAB	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50487	0: 50487~1: CAP	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50496	0: 50496~1: LOZ	P.Ear|DRP
2692666	0: 2692666~1: P.Ear	50498	0: 50498~1: UNG	P.Ear|DRP
2692667	0: 2692667~1: P.Nose	Null	None	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50488	0: 50488~1: CRM	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50502	0: 50502~1: SPR	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50486	0: 50486~1: AMP	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50497	0: 50497~1: OINT	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50489	0: 50489~1: DRP	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50493	0: 50493~1: INH	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50501	0: 50501~1: SOL	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50498	0: 50498~1: UNG	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50495	0: 50495~1: LIQ	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50506	0: 50506~1: TAB	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50492	0: 50492~1: GEL	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50499	0: 50499~1: POW	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50494	0: 50494~1: INJ	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	97834	0: 97834~1: P.O	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50505	0: 50505~1: SYR	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50490	0: 50490~1: ELX	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	4061938	0: 4061938~1: Sachet	P.Nose|CRM
2692667	0: 2692667~1: P.Nose	50487	0: 50487~1: CAP	P.Nose|CRM
2696836	0: 2696836~1: P.Eye	50489	0: 50489~1: DRP	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	Null	None	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50501	0: 50501~1: SOL	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50486	0: 50486~1: AMP	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50495	0: 50495~1: LIQ	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50497	0: 50497~1: OINT	P.Eye|OINT
2696836	0: 2696836~1: P.Eye	50488	0: 50488~1: CRM	P.Eye|OINT
2696836	0: 2696836~1: P.Eye	50498	0: 50498~1: UNG	P.Eye|OINT
2696836	0: 2696836~1: P.Eye	50492	0: 50492~1: GEL	P.Eye|OINT
2696836	0: 2696836~1: P.Eye	50506	0: 50506~1: TAB	Unknown
2696836	0: 2696836~1: P.Eye	50504	0: 50504~1: SUS	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50491	0: 50491~1: EML	P.Eye|OINT
2696836	0: 2696836~1: P.Eye	50487	0: 50487~1: CAP	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50494	0: 50494~1: INJ	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50490	0: 50490~1: ELX	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50503	0: 50503~1: SUP	Unknown
2696836	0: 2696836~1: P.Eye	50496	0: 50496~1: LOZ	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	50505	0: 50505~1: SYR	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	630201	0: 630201~1: PATCH	Unknown
2696836	0: 2696836~1: P.Eye	0	None	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	4061938	0: 4061938~1: Sachet	P.Eye|DRP
2696836	0: 2696836~1: P.Eye	97834	0: 97834~1: P.O	Unknown
2696836	0: 2696836~1: P.Eye	50502	0: 50502~1: SPR	P.Eye|DRP
2751732	0: 2751732~1: P.vag	Null	None	P.vag|CRM
2751732	0: 2751732~1: P.vag	50488	0: 50488~1: CRM	P.vag|CRM
2751732	0: 2751732~1: P.vag	50506	0: 50506~1: TAB	P.vag|CRM
2751732	0: 2751732~1: P.vag	50503	0: 50503~1: SUP	P.vag|CRM
2751732	0: 2751732~1: P.vag	50492	0: 50492~1: GEL	P.vag|CRM
2751732	0: 2751732~1: P.vag	50486	0: 50486~1: AMP	P.vag|CRM
2751732	0: 2751732~1: P.vag	50489	0: 50489~1: DRP	P.vag|CRM
2751732	0: 2751732~1: P.vag	50487	0: 50487~1: CAP	P.vag|CRM
2751732	0: 2751732~1: P.vag	630201	0: 630201~1: PATCH	P.vag|CRM
2751732	0: 2751732~1: P.vag	50502	0: 50502~1: SPR	P.vag|CRM
2751732	0: 2751732~1: P.vag	50498	0: 50498~1: UNG	P.vag|CRM
2751732	0: 2751732~1: P.vag	50504	0: 50504~1: SUS	P.vag|CRM
2751732	0: 2751732~1: P.vag	50497	0: 50497~1: OINT	P.vag|CRM
2751732	0: 2751732~1: P.vag	50501	0: 50501~1: SOL	P.vag|CRM
2751732	0: 2751732~1: P.vag	50495	0: 50495~1: LIQ	P.vag|CRM
2751732	0: 2751732~1: P.vag	4061938	0: 4061938~1: Sachet	P.vag|CRM
2751733	0: 2751733~1: P.pens	Null	None	Unknown
2751733	0: 2751733~1: P.pens	0	None	Unknown
2751733	0: 2751733~1: P.pens	50486	0: 50486~1: AMP	Unknown
2751733	0: 2751733~1: P.pens	50494	0: 50494~1: INJ	Unknown
2751733	0: 2751733~1: P.pens	50495	0: 50495~1: LIQ	Unknown
2751733	0: 2751733~1: P.pens	50488	0: 50488~1: CRM	Unknown
2751733	0: 2751733~1: P.pens	50487	0: 50487~1: CAP	Unknown
2751733	0: 2751733~1: P.pens	50501	0: 50501~1: SOL	Unknown
2751733	0: 2751733~1: P.pens	69808	0: 69808~1: I.V	Unknown
2751733	0: 2751733~1: P.pens	50492	0: 50492~1: GEL	Unknown
2751733	0: 2751733~1: P.pens	50498	0: 50498~1: UNG	Unknown
2751733	0: 2751733~1: P.pens	50505	0: 50505~1: SYR	Unknown
2751733	0: 2751733~1: P.pens	50506	0: 50506~1: TAB	Unknown
3160	0: 3160~1: P.O	50506	0: 50506~1: TAB	PO|TAB
3160	0: 3160~1: P.O	50487	0: 50487~1: CAP	PO|TAB
3160	0: 3160~1: P.O	0	None	PO|TAB
3160	0: 3160~1: P.O	97834	0: 97834~1: P.O	PO|TAB
3160	0: 3160~1: P.O	50493	0: 50493~1: INH	INH|INH
3160	0: 3160~1: P.O	50505	0: 50505~1: SYR	P.O|SYR
3160	0: 3160~1: P.O	50501	0: 50501~1: SOL	P.O|SYR
3160	0: 3160~1: P.O	50489	0: 50489~1: DRP	P.O|SYR
3160	0: 3160~1: P.O	50495	0: 50495~1: LIQ	P.O|SYR
3160	0: 3160~1: P.O	50486	0: 50486~1: AMP	P.O|SYR
3160	0: 3160~1: P.O	50499	0: 50499~1: POW	P.O|SYR
3160	0: 3160~1: P.O	50504	0: 50504~1: SUS	P.O|SYR
3160	0: 3160~1: P.O	50491	0: 50491~1: EML	P.O|SYR
3160	0: 3160~1: P.O	50490	0: 50490~1: ELX	P.O|SYR
3160	0: 3160~1: P.O	50494	0: 50494~1: INJ	P.O|SYR
3160	0: 3160~1: P.O	69808	0: 69808~1: I.V	P.O|SYR
3160	0: 3160~1: P.O	50496	0: 50496~1: LOZ	P.O|SYR
3160	0: 3160~1: P.O	4061938	0: 4061938~1: Sachet	P.O|SYR
3160	0: 3160~1: P.O	50502	0: 50502~1: SPR	S.L|SPR
3160	0: 3160~1: P.O	50488	0: 50488~1: CRM	P.O:CRM
3160	0: 3160~1: P.O	Null	None	Unknown
3160	0: 3160~1: P.O	50503	0: 50503~1: SUP	Unknown
3160	0: 3160~1: P.O	50492	0: 50492~1: GEL	Unknown
3160	0: 3160~1: P.O	630201	0: 630201~1: PATCH	Unknown
3160	0: 3160~1: P.O	59964	0: 59964~1: S.C	Unknown
3160	0: 3160~1: P.O	50498	0: 50498~1: UNG	P.O:CRM
3160	0: 3160~1: P.O	50497	0: 50497~1: OINT	P.O:CRM
3160	0: 3160~1: P.O	-1	None	PO|TAB
3160	0: 3160~1: P.O	97832	0: 97832~1: I.M	Unknown
3161	0: 3161~1: I.V	50494	0: 50494~1: INJ	IV|AMP
3161	0: 3161~1: I.V	50486	0: 50486~1: AMP	IV|AMP
3161	0: 3161~1: I.V	69808	0: 69808~1: I.V	IV|AMP
3161	0: 3161~1: I.V	50495	0: 50495~1: LIQ	IV|AMP
3161	0: 3161~1: I.V	50505	0: 50505~1: SYR	IV|AMP
3161	0: 3161~1: I.V	50491	0: 50491~1: EML	IV|AMP
3161	0: 3161~1: I.V	50501	0: 50501~1: SOL	IV|AMP
3161	0: 3161~1: I.V	50489	0: 50489~1: DRP	IV|AMP
3161	0: 3161~1: I.V	50493	0: 50493~1: INH	Unknown
3161	0: 3161~1: I.V	Null	None	Unknown
3161	0: 3161~1: I.V	50506	0: 50506~1: TAB	Unknown
3161	0: 3161~1: I.V	50487	0: 50487~1: CAP	Unknown
3161	0: 3161~1: I.V	59964	0: 59964~1: S.C	Unknown
3161	0: 3161~1: I.V	50488	0: 50488~1: CRM	Unknown
3161	0: 3161~1: I.V	50504	0: 50504~1: SUS	Unknown
3161	0: 3161~1: I.V	97834	0: 97834~1: P.O	Unknown
3161	0: 3161~1: I.V	50499	0: 50499~1: POW	IV|AMP
3161	0: 3161~1: I.V	4061938	0: 4061938~1: Sachet	IV|AMP
3161	0: 3161~1: I.V	0	None	IV|AMP
3161	0: 3161~1: I.V	630201	0: 630201~1: PATCH	Unknown
3161	0: 3161~1: I.V	-1	None	IV|AMP
3161	0: 3161~1: I.V	50503	0: 50503~1: SUP	Unknown
3161	0: 3161~1: I.V	50490	0: 50490~1: ELX	Unknown
3161	0: 3161~1: I.V	50492	0: 50492~1: GEL	Unknown
3161	0: 3161~1: I.V	97832	0: 97832~1: I.M	Unknown
3161	0: 3161~1: I.V	50502	0: 50502~1: SPR	IV|AMP
3161	0: 3161~1: I.V	50496	0: 50496~1: LOZ	IV|AMP
3161	0: 3161~1: I.V	50498	0: 50498~1: UNG	Unknown
3162	0: 3162~1: S.C	50486	0: 50486~1: AMP	S.C|AMP
3162	0: 3162~1: S.C	Null	None	S.C|AMP
3162	0: 3162~1: S.C	50494	0: 50494~1: INJ	S.C|AMP
3162	0: 3162~1: S.C	59964	0: 59964~1: S.C	S.C|AMP
3162	0: 3162~1: S.C	50501	0: 50501~1: SOL	S.C|AMP
3162	0: 3162~1: S.C	50495	0: 50495~1: LIQ	S.C|AMP
3162	0: 3162~1: S.C	-1	None	S.C|AMP
3162	0: 3162~1: S.C	50505	0: 50505~1: SYR	S.C|AMP
3162	0: 3162~1: S.C	50506	0: 50506~1: TAB	Unknown
3162	0: 3162~1: S.C	50487	0: 50487~1: CAP	Unknown
3162	0: 3162~1: S.C	50493	0: 50493~1: INH	Unknown
3162	0: 3162~1: S.C	630201	0: 630201~1: PATCH	Unknown
3162	0: 3162~1: S.C	69808	0: 69808~1: I.V	Unknown
3162	0: 3162~1: S.C	50488	0: 50488~1: CRM	Unknown
3162	0: 3162~1: S.C	50491	0: 50491~1: EML	S.C|AMP
3162	0: 3162~1: S.C	50504	0: 50504~1: SUS	S.C|AMP
3162	0: 3162~1: S.C	6737744	None	S.C|AMP
